#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	189302	190114	cpsK	1-813/813	===============	0/0	100.00	99.14	vfdb	NP_816131	vfdb~~~cpsK~~~NP_816131 (cpsK) ABC transporter permease protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	190114	191457	cpsJ	1-1344/1344	===============	0/0	100.00	99.48	vfdb	NP_816132	vfdb~~~cpsJ~~~NP_816132 (cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	191483	192622	cpsI	1-1140/1140	===============	0/0	100.00	99.56	vfdb	NP_816133	vfdb~~~cpsI~~~NP_816133 (cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	192681	193079	cpsH	1-399/399	===============	0/0	100.00	99.50	vfdb	NP_816134	vfdb~~~cpsH~~~NP_816134 (cpsH) lipoprotein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	193097	195550	cpsG	1-2454/2454	===============	0/0	100.00	99.84	vfdb	NP_816135	vfdb~~~cpsG~~~NP_816135 (cpsG) MurB family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	195577	196428	cpsF	1-852/852	===============	0/0	100.00	100.00	vfdb	NP_816136	vfdb~~~cpsF~~~NP_816136 (cpsF) CpsF protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	196452	198962	cpsE	1-2511/2511	===============	0/0	100.00	99.52	vfdb	NP_816137	vfdb~~~cpsE~~~NP_816137 (cpsE) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	199032	200498	cpsD	1-1467/1467	===============	0/0	100.00	98.70	vfdb	NP_816138	vfdb~~~cpsD~~~NP_816138 (cpsD) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	200517	201686	cpsC	1-1170/1170	===============	0/0	100.00	99.66	vfdb	NP_816139	vfdb~~~cpsC~~~NP_816139 (cpsC) teichoic acid biosynthesis protein putative [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	202159	202959	cpsB	1-801/801	===============	0/0	100.00	99.38	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	202956	203771	cpsA	1-816/816	===============	0/0	100.00	100.00	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_15	211987	216294	fss2	1-4305/4956	========/=====.	6/11	86.78	95.34	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_19	19934	25897	fss1	1-5964/5964	===============	0/0	100.00	98.81	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_21	125424	126434	bopD	1-1011/1011	===============	0/0	100.00	99.31	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_4	36313	39327	EF0818	1-3015/3015	===============	0/0	100.00	99.60	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_5	570221	572245	ace	1-2025/2025	===============	0/0	100.00	97.33	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_5	575325	576179	srtC	1-855/855	===============	0/0	100.00	99.18	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_5	576273	578156	ebpC	1-1878/1878	========/======	1/6	100.00	99.05	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP8-1.fasta	DIV1228A_trimmed_(paired)_contig_5	578153	579583	ebpB	1-1431/1431	===============	0/0	100.00	98.95	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
