#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	225584	229894	fss2	1-4305/4956	========/=====.	10/18	86.74	92.70	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	238110	238925	cpsA	1-816/816	===============	0/0	100.00	99.27	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	238922	239722	cpsB	1-801/801	===============	0/0	100.00	99.00	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	240195	241364	cpsC	1-1170/1170	===============	0/0	100.00	97.95	vfdb	NP_816139	vfdb~~~cpsC~~~NP_816139 (cpsC) teichoic acid biosynthesis protein putative [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	241383	242849	cpsD	1-1467/1467	===============	0/0	100.00	99.05	vfdb	NP_816138	vfdb~~~cpsD~~~NP_816138 (cpsD) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	242919	245429	cpsE	1-2511/2511	===============	0/0	100.00	99.28	vfdb	NP_816137	vfdb~~~cpsE~~~NP_816137 (cpsE) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	245453	246304	cpsF	1-852/852	===============	0/0	100.00	99.65	vfdb	NP_816136	vfdb~~~cpsF~~~NP_816136 (cpsF) CpsF protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	246331	248784	cpsG	1-2454/2454	===============	0/0	100.00	99.43	vfdb	NP_816135	vfdb~~~cpsG~~~NP_816135 (cpsG) MurB family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	248802	249200	cpsH	1-399/399	===============	0/0	100.00	99.00	vfdb	NP_816134	vfdb~~~cpsH~~~NP_816134 (cpsH) lipoprotein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	249259	250398	cpsI	1-1140/1140	===============	0/0	100.00	99.30	vfdb	NP_816133	vfdb~~~cpsI~~~NP_816133 (cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	250424	251767	cpsJ	1-1344/1344	===============	0/0	100.00	99.55	vfdb	NP_816132	vfdb~~~cpsJ~~~NP_816132 (cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP8-17.fasta	MP8_17_DIV1238_trimmed_(paired)_contig_1	251767	252579	cpsK	1-813/813	===============	0/0	100.00	98.65	vfdb	NP_816131	vfdb~~~cpsK~~~NP_816131 (cpsK) ABC transporter permease protein [Capsule (VF0361)] [Enterococcus faecalis V583]
