#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_1	72739	78702	fss1	1-5964/5964	===============	0/0	100.00	98.81	vfdb	NP_813892	vfdb~~~fss1~~~NP_813892 (fss1) Enterococcus faecalis surface protein Fss1 fibrinogen binding protein [Fibrinogen binding protein (AI271)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_13	29731	30741	bopD	1-1011/1011	===============	0/0	100.00	99.31	vfdb	NP_814691	vfdb~~~bopD~~~NP_814691 (bopD) sugar-binding transcriptional regulator LacI family [BopD (VF0362)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	93213	94139	efaA	1-927/927	===============	0/0	100.00	99.89	vfdb	NP_815739	vfdb~~~efaA~~~NP_815739 (efaA) endocarditis specific antigen [EfaA (VF0354)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	258290	259021	fsrA	1-732/732	===============	0/0	100.00	99.73	vfdb	NP_815519	vfdb~~~fsrA~~~NP_815519 (fsrA) response regulator [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	259110	259838	fsrB	1-729/729	===============	0/0	100.00	99.04	vfdb	NP_815518	vfdb~~~fsrB~~~NP_815518 (fsrB) agrBfs protein [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	259835	261178	fsrC	1-1344/1344	===============	0/0	100.00	99.26	vfdb	NP_815517	vfdb~~~fsrC~~~NP_815517 (fsrC) histidine kinase putative [Fsr (VF0360)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	261413	262945	gelE	1-1533/1533	===============	0/0	100.00	98.96	vfdb	NP_815516	vfdb~~~gelE~~~NP_815516 (gelE) coccolysin [Gelatinase (VF0357)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	262994	263848	sprE	1-855/855	===============	0/0	100.00	98.83	vfdb	NP_815515	vfdb~~~sprE~~~NP_815515 (sprE) serine proteinase V8 family [SprE (VF0358)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	911116	913140	ace	1-2025/2025	===============	0/0	100.00	97.33	vfdb	NP_814829	vfdb~~~ace~~~NP_814829 (ace) collagen adhesin protein [Ace (VF0355)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	916220	917074	srtC	1-855/855	===============	0/0	100.00	99.18	vfdb	NP_814824	vfdb~~~srtC~~~NP_814824 (srtC) sortase [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	917168	919051	ebpC	1-1878/1878	========/======	1/6	100.00	99.05	vfdb	NP_814823	vfdb~~~ebpC~~~NP_814823 (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	919048	920478	ebpB	1-1431/1431	===============	0/0	100.00	98.95	vfdb	NP_814822	vfdb~~~ebpB~~~NP_814822 (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_2	920482	923793	ebpA	1-3312/3312	===============	0/0	100.00	99.06	vfdb	NP_814821	vfdb~~~ebpA~~~NP_814821 (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_5	385227	388241	EF0818	1-3015/3015	===============	0/0	100.00	99.60	vfdb	NP_814561	vfdb~~~EF0818~~~NP_814561 (EF0818) polysaccharide lyase family 8 [Hyaluronidase (VF0359)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_8	26483	30399	EF0485	2-3918/3918	========/======	2/2	99.95	93.21	vfdb	NP_814266	vfdb~~~EF0485~~~NP_814266 (EF0485) aggregation substance [AS (VF0352)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	116048	120355	fss2	1-4305/4956	========/=====.	6/11	86.78	95.34	vfdb	NP_816151	vfdb~~~fss2~~~NP_816151 (fss2) Enterococcus faecalis surface protein Fss2 fibrinogen binding protein [Fibrinogen binding protein (AI272)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	128571	129386	cpsA	1-816/816	===============	0/0	100.00	100.00	vfdb	NP_816141	vfdb~~~cpsA~~~NP_816141 (cpsA) undecaprenyl diphosphate synthase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	129383	130183	cpsB	1-801/801	===============	0/0	100.00	99.38	vfdb	NP_816140	vfdb~~~cpsB~~~NP_816140 (cpsB) phosphatidate cytidylyltransferase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	130656	131825	cpsC	1-1170/1170	===============	0/0	100.00	99.66	vfdb	NP_816139	vfdb~~~cpsC~~~NP_816139 (cpsC) teichoic acid biosynthesis protein putative [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	131844	133310	cpsD	1-1467/1467	===============	0/0	100.00	98.70	vfdb	NP_816138	vfdb~~~cpsD~~~NP_816138 (cpsD) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	133380	135890	cpsE	1-2511/2511	===============	0/0	100.00	99.52	vfdb	NP_816137	vfdb~~~cpsE~~~NP_816137 (cpsE) glycosyl transferase group 2 family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	135914	136765	cpsF	1-852/852	===============	0/0	100.00	100.00	vfdb	NP_816136	vfdb~~~cpsF~~~NP_816136 (cpsF) CpsF protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	136792	139245	cpsG	1-2454/2454	===============	0/0	100.00	99.84	vfdb	NP_816135	vfdb~~~cpsG~~~NP_816135 (cpsG) MurB family protein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	139263	139661	cpsH	1-399/399	===============	0/0	100.00	99.50	vfdb	NP_816134	vfdb~~~cpsH~~~NP_816134 (cpsH) lipoprotein [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	139720	140859	cpsI	1-1140/1140	===============	0/0	100.00	99.56	vfdb	NP_816133	vfdb~~~cpsI~~~NP_816133 (cpsI) UDP-galactopyranose mutase [Capsule (VF0361)] [Enterococcus faecalis V583]
data/samples/MP5-1.fasta	MP5_1_DIV1235_trimmed_(paired)_contig_9	140885	142228	cpsJ	1-1344/1344	===============	0/0	100.00	99.48	vfdb	NP_816132	vfdb~~~cpsJ~~~NP_816132 (cpsJ) ABC transporter ATP-binding protein [Capsule (VF0361)] [Enterococcus faecalis V583]
