locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFMBCMJJ_00001	CDS	750				hypothetical protein
NFMBCMJJ_00001	gene	750				
NFMBCMJJ_00002	CDS	396				hypothetical protein
NFMBCMJJ_00002	gene	396				
NFMBCMJJ_00003	CDS	936				hypothetical protein
NFMBCMJJ_00003	gene	936				
NFMBCMJJ_00004	CDS	999			COG0391	Putative gluconeogenesis factor
NFMBCMJJ_00004	gene	999				
NFMBCMJJ_00005	CDS	885				ATP-binding protein
NFMBCMJJ_00005	gene	885				
NFMBCMJJ_00006	CDS	720		5.1.1.13		Aspartate racemase
NFMBCMJJ_00006	gene	720				
NFMBCMJJ_00007	CDS	1266		6.3.4.16		carbamoyl phosphate synthase-like protein
NFMBCMJJ_00007	gene	1266				
NFMBCMJJ_00008	CDS	2838	uvrA	3.1.25.-		excinuclease ABC subunit A
NFMBCMJJ_00008	gene	2838	uvrA			
NFMBCMJJ_00009	CDS	1995	uvrB	3.1.25.-		excinuclease ABC subunit B
NFMBCMJJ_00009	gene	1995	uvrB			
NFMBCMJJ_00010	CDS	1497				amino acid ABC transporter amino acid-binding/permease
NFMBCMJJ_00010	gene	1497				
NFMBCMJJ_00011	CDS	738	artM_1	3.6.3.-		amino acid ABC transporter ATP-binding protein
NFMBCMJJ_00011	gene	738	artM_1			
NFMBCMJJ_00012	CDS	1158	dnaJ			chaperone protein DnaJ
NFMBCMJJ_00012	gene	1158	dnaJ			
NFMBCMJJ_00013	CDS	1833	dnaK			chaperone protein DnaK
NFMBCMJJ_00013	gene	1833	dnaK			
NFMBCMJJ_00014	CDS	564	grpE			co-chaperone GrpE
NFMBCMJJ_00014	gene	564	grpE			
NFMBCMJJ_00015	CDS	1044	hrcA			heat-inducible transcription repressor HrcA
NFMBCMJJ_00015	gene	1044	hrcA			
NFMBCMJJ_00016	CDS	1167		1.3.99.-		putative oxygen-independent coproporphyrinogen III oxidase
NFMBCMJJ_00016	gene	1167				
NFMBCMJJ_00017	CDS	1485				hypothetical protein
NFMBCMJJ_00017	gene	1485				
NFMBCMJJ_00018	CDS	1023				hypothetical protein
NFMBCMJJ_00018	gene	1023				
NFMBCMJJ_00019	CDS	192				hypothetical protein
NFMBCMJJ_00019	gene	192				
NFMBCMJJ_00020	CDS	174				hypothetical protein
NFMBCMJJ_00020	gene	174				
NFMBCMJJ_00021	CDS	696				hypothetical protein
NFMBCMJJ_00021	gene	696				
NFMBCMJJ_00022	CDS	753				hypothetical protein
NFMBCMJJ_00022	gene	753				
NFMBCMJJ_00023	CDS	2955				hypothetical protein
NFMBCMJJ_00023	gene	2955				
NFMBCMJJ_00024	CDS	441				hypothetical protein
NFMBCMJJ_00024	gene	441				
NFMBCMJJ_00025	CDS	471				hypothetical protein
NFMBCMJJ_00025	gene	471				
NFMBCMJJ_00026	CDS	1428				hypothetical protein
NFMBCMJJ_00026	gene	1428				
NFMBCMJJ_00027	CDS	180				hypothetical protein
NFMBCMJJ_00027	gene	180				
NFMBCMJJ_00028	CDS	2160	lnpA	2.4.1.211		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
NFMBCMJJ_00028	gene	2160	lnpA			
NFMBCMJJ_00029	CDS	882	ycjP			ABC transporter permease
NFMBCMJJ_00029	gene	882	ycjP			
NFMBCMJJ_00030	CDS	906				ABC transporter ATP-binding protein
NFMBCMJJ_00030	gene	906				
NFMBCMJJ_00031	CDS	1350				hypothetical protein
NFMBCMJJ_00031	gene	1350				
NFMBCMJJ_00032	CDS	816	rhaR_1			HTH-type transcriptional activator RhaR
NFMBCMJJ_00032	gene	816	rhaR_1			
NFMBCMJJ_00033	CDS	1371				major facilitator superfamily transporter
NFMBCMJJ_00033	gene	1371				
NFMBCMJJ_00034	CDS	531				hypothetical protein
NFMBCMJJ_00034	gene	531				
NFMBCMJJ_00035	CDS	378	yccF		COG3304	Inner membrane protein YccF
NFMBCMJJ_00035	gene	378	yccF			
NFMBCMJJ_00036	CDS	1062	strH	3.2.1.52	COG3525	Beta-N-acetylhexosaminidase
NFMBCMJJ_00036	gene	1062	strH			
NFMBCMJJ_00037	CDS	1353				hypothetical protein
NFMBCMJJ_00037	gene	1353				
NFMBCMJJ_00038	CDS	2238	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
NFMBCMJJ_00038	gene	2238	bglB_1			
NFMBCMJJ_00039	CDS	3111				hypothetical protein
NFMBCMJJ_00039	gene	3111				
NFMBCMJJ_00040	CDS	1440				extracellular solute-binding protein
NFMBCMJJ_00040	gene	1440				
NFMBCMJJ_00041	CDS	918				ABC transporter permease
NFMBCMJJ_00041	gene	918				
NFMBCMJJ_00042	CDS	969				ABC transporter permease
NFMBCMJJ_00042	gene	969				
NFMBCMJJ_00043	CDS	1518	rssB			Regulator of RpoS
NFMBCMJJ_00043	gene	1518	rssB			
NFMBCMJJ_00044	CDS	1722				hypothetical protein
NFMBCMJJ_00044	gene	1722				
