locus_tag	ftype	length_bp	gene	EC_number	COG	product
PALEPJKG_00001	CDS	267				hypothetical protein
PALEPJKG_00001	gene	267				
PALEPJKG_00002	CDS	294	esxA_1			ESAT-6 secretion system extracellular protein A
PALEPJKG_00002	gene	294	esxA_1			
PALEPJKG_00003	CDS	2055				Na+/H+ antiporter
PALEPJKG_00003	gene	2055				
PALEPJKG_00004	CDS	267				hypothetical protein
PALEPJKG_00004	gene	267				
PALEPJKG_00005	CDS	477				hypothetical protein
PALEPJKG_00005	gene	477				
PALEPJKG_00006	CDS	195				hypothetical protein
PALEPJKG_00006	gene	195				
PALEPJKG_00007	CDS	849				EDD domain-containing protein, DegV family
PALEPJKG_00007	gene	849				
PALEPJKG_00008	CDS	1173				transcriptional regulator, PSR protein
PALEPJKG_00008	gene	1173				
PALEPJKG_00009	CDS	849		4.2.1.51		prephenate dehydratase
PALEPJKG_00009	gene	849				
PALEPJKG_00010	CDS	507		2.7.1.71		shikimate kinase
PALEPJKG_00010	gene	507				
PALEPJKG_00011	CDS	1281	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
PALEPJKG_00011	gene	1281	aroA			
PALEPJKG_00012	CDS	1095		1.3.1.12		prephenate dehydrogenase
PALEPJKG_00012	gene	1095				
PALEPJKG_00013	CDS	1167	aroC	4.2.3.5		chorismate synthase
PALEPJKG_00013	gene	1167	aroC			
PALEPJKG_00014	CDS	1077		4.2.3.4		3-dehydroquinate synthase
PALEPJKG_00014	gene	1077				
PALEPJKG_00015	CDS	1026		2.5.1.54		phospho-2-dehydro-3-deoxyheptonate aldolase
PALEPJKG_00015	gene	1026				
PALEPJKG_00016	CDS	867		1.1.1.25		shikimate 5-dehydrogenase
PALEPJKG_00016	gene	867				
PALEPJKG_00017	CDS	456				hypothetical protein
PALEPJKG_00017	gene	456				
PALEPJKG_00018	CDS	375				hypothetical protein
PALEPJKG_00018	gene	375				
PALEPJKG_00019	CDS	1275		2.7.7.-		tRNA nucleotidyltransferase/poly(A) polymerase family protein
PALEPJKG_00019	gene	1275				
PALEPJKG_00020	CDS	780		1.3.1.26		dihydrodipicolinate reductase
PALEPJKG_00020	gene	780				
PALEPJKG_00021	CDS	351		3.6.1.-		MazG nucleotide pyrophosphohydrolase domain-containing protein
PALEPJKG_00021	gene	351				
PALEPJKG_00022	CDS	885				integral membrane protein
PALEPJKG_00022	gene	885				
PALEPJKG_00023	CDS	540				hypothetical protein
PALEPJKG_00023	gene	540				
PALEPJKG_00024	CDS	1257				tetratricopeptide repeat protein
PALEPJKG_00024	gene	1257				
PALEPJKG_00025	CDS	1041				hypothetical protein
PALEPJKG_00025	gene	1041				
PALEPJKG_00026	CDS	276	hupA			DNA-binding protein HU
PALEPJKG_00026	gene	276	hupA			
PALEPJKG_00027	CDS	1311	der	3.6.-.-		ribosome-associated GTPase EngA
PALEPJKG_00027	gene	1311	der			
PALEPJKG_00028	CDS	1212				30S ribosomal protein S1
PALEPJKG_00028	gene	1212				
PALEPJKG_00029	CDS	681	cmk	2.7.4.14		cytidylate kinase
PALEPJKG_00029	gene	681	cmk			
PALEPJKG_00030	CDS	627				LysM domain-containing protein
PALEPJKG_00030	gene	627				
PALEPJKG_00031	CDS	1440		3.6.1.-		RecQ familyATP-dependent DNA helicase
PALEPJKG_00031	gene	1440				
PALEPJKG_00032	CDS	1035				hypothetical protein
PALEPJKG_00032	gene	1035				
PALEPJKG_00033	CDS	219				ferredoxin
PALEPJKG_00033	gene	219				
PALEPJKG_00034	CDS	1407				hypothetical protein
PALEPJKG_00034	gene	1407				
PALEPJKG_00035	CDS	606				membrane protein
PALEPJKG_00035	gene	606				
PALEPJKG_00036	CDS	717		5.4.99.-		16S rRNA pseudouridine synthase A
PALEPJKG_00036	gene	717				
PALEPJKG_00037	CDS	606	scpB			segregation and condensation protein B
PALEPJKG_00037	gene	606	scpB			
PALEPJKG_00038	CDS	786				segregation and condensation protein A
PALEPJKG_00038	gene	786				
PALEPJKG_00039	CDS	891	xerD			site-specific tyrosine recombinase XerD-family protein
PALEPJKG_00039	gene	891	xerD			
PALEPJKG_00040	CDS	930		3.4.14.11		x-Pro dipeptidyl-peptidase
PALEPJKG_00040	gene	930				
PALEPJKG_00041	CDS	1092				alpha3-beta1 integrin-binding family protein
PALEPJKG_00041	gene	1092				
PALEPJKG_00042	CDS	750		5.2.1.8		cyclophilin type peptidyl-prolyl cis-trans isomerase
PALEPJKG_00042	gene	750				
PALEPJKG_00043	CDS	375				hypothetical protein
PALEPJKG_00043	gene	375				
PALEPJKG_00044	CDS	540				TetR family transcriptional regulator
PALEPJKG_00044	gene	540				
PALEPJKG_00045	CDS	1299		2.7.1.69		PTS system transporter subunit IIC
PALEPJKG_00045	gene	1299				
PALEPJKG_00046	CDS	303				hypothetical protein
PALEPJKG_00046	gene	303				
PALEPJKG_00047	CDS	1317	obg	3.6.5.-		Obg family GTPase CgtA
PALEPJKG_00047	gene	1317	obg			
PALEPJKG_00048	CDS	1011		1.2.1.12		glyceraldehyde 3-phosphate dehydrogenase
PALEPJKG_00048	gene	1011				
PALEPJKG_00049	CDS	450	fur			transcriptional regulator, FUR family
PALEPJKG_00049	gene	450	fur			
PALEPJKG_00050	CDS	882	cvfB			Conserved virulence factor B
PALEPJKG_00050	gene	882	cvfB			
