locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNDDNANJ_00001	CDS	2424				cell division protein FtsK
GNDDNANJ_00001	gene	2424				
GNDDNANJ_00002	CDS	702				GntR family transcriptional regulator
GNDDNANJ_00002	gene	702				
GNDDNANJ_00003	CDS	750		3.6.3.-		ABC transporter ATP-binding protein
GNDDNANJ_00003	gene	750				
GNDDNANJ_00004	CDS	1830				peptide ABC transporter permease/transmembrane protein
GNDDNANJ_00004	gene	1830				
GNDDNANJ_00005	CDS	1074	rlmN	2.1.1.-		ribosomal RNA large subunit methyltransferase N
GNDDNANJ_00005	gene	1074	rlmN			
GNDDNANJ_00006	CDS	1329				amino acid permease family protein
GNDDNANJ_00006	gene	1329				
GNDDNANJ_00007	CDS	969				type II/IV secretion system protein
GNDDNANJ_00007	gene	969				
GNDDNANJ_00008	CDS	1047				type II secretion system F domain protein
GNDDNANJ_00008	gene	1047				
GNDDNANJ_00009	CDS	276				prepilin-type cleavage/methylation domain protein
GNDDNANJ_00009	gene	276				
GNDDNANJ_00010	CDS	504				hypothetical protein
GNDDNANJ_00010	gene	504				
GNDDNANJ_00011	CDS	1149	xerC_1			site-specific tyrosine recombinase XerC-family protein
GNDDNANJ_00011	gene	1149	xerC_1			
GNDDNANJ_00012	CDS	330				hypothetical protein
GNDDNANJ_00012	gene	330				
GNDDNANJ_00013	CDS	765				hypothetical protein
GNDDNANJ_00013	gene	765				
GNDDNANJ_00014	CDS	639				hypothetical protein
GNDDNANJ_00014	gene	639				
GNDDNANJ_00015	CDS	345				hypothetical protein
GNDDNANJ_00015	gene	345				
GNDDNANJ_00016	CDS	192				hypothetical protein
GNDDNANJ_00016	gene	192				
GNDDNANJ_00017	CDS	312				hypothetical protein
GNDDNANJ_00017	gene	312				
GNDDNANJ_00018	CDS	714				phage anti-repressor protein
GNDDNANJ_00018	gene	714				
GNDDNANJ_00019	CDS	186				hypothetical protein
GNDDNANJ_00019	gene	186				
GNDDNANJ_00020	CDS	201				hypothetical protein
GNDDNANJ_00020	gene	201				
GNDDNANJ_00021	CDS	408				hypothetical protein
GNDDNANJ_00021	gene	408				
GNDDNANJ_00022	CDS	744				hypothetical protein
GNDDNANJ_00022	gene	744				
GNDDNANJ_00023	CDS	324				hypothetical protein
GNDDNANJ_00023	gene	324				
GNDDNANJ_00024	CDS	114				hypothetical protein
GNDDNANJ_00024	gene	114				
GNDDNANJ_00025	CDS	255				hypothetical protein
GNDDNANJ_00025	gene	255				
