locus_tag	ftype	length_bp	gene	EC_number	COG	product
AEFBBHKD_00001	CDS	609	rplY			50S ribosomal protein L25
AEFBBHKD_00001	gene	609	rplY			
AEFBBHKD_00002	CDS	324				hypothetical protein
AEFBBHKD_00002	gene	324				
AEFBBHKD_00003	CDS	3015				hypothetical protein
AEFBBHKD_00003	gene	3015				
AEFBBHKD_00004	CDS	801		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IID component
AEFBBHKD_00004	gene	801				
AEFBBHKD_00005	CDS	792		2.7.1.69		PTS system mannose-specific transporter subunit IIC
AEFBBHKD_00005	gene	792				
AEFBBHKD_00006	CDS	927		2.7.1.-		PTS system, mannose/fructose/sorbose-specific IIAB component
AEFBBHKD_00006	gene	927				
AEFBBHKD_00007	CDS	708				transcriptional regulator, GntR family
AEFBBHKD_00007	gene	708				
AEFBBHKD_00008	CDS	1782	bga_1	3.2.1.23		Beta-galactosidase
AEFBBHKD_00008	gene	1782	bga_1			
AEFBBHKD_00009	CDS	1164		3.2.1.-		glycosyl hydrolase family protein
AEFBBHKD_00009	gene	1164				
AEFBBHKD_00010	CDS	828				hypothetical protein
AEFBBHKD_00010	gene	828				
AEFBBHKD_00011	CDS	1725				hypothetical protein
AEFBBHKD_00011	gene	1725				
AEFBBHKD_00012	CDS	249				transglycosylase
AEFBBHKD_00012	gene	249				
AEFBBHKD_00013	CDS	1632				oligopeptide ABC superfamily ATP binding cassette transporter, binding protein
AEFBBHKD_00013	gene	1632				
AEFBBHKD_00014	CDS	645				amino acid ABC transporter permease
AEFBBHKD_00014	gene	645				
AEFBBHKD_00015	CDS	636				putative glutamine ABC transporter ATP-binding protein
AEFBBHKD_00015	gene	636				
AEFBBHKD_00016	CDS	831				family 3 extracellular solute-binding protein
AEFBBHKD_00016	gene	831				
AEFBBHKD_00017	CDS	444				hypothetical protein
AEFBBHKD_00017	gene	444				
AEFBBHKD_00018	CDS	225				hypothetical protein
AEFBBHKD_00018	gene	225				
AEFBBHKD_00019	CDS	2415	leuS	6.1.1.4		leucyl-tRNA synthetase
AEFBBHKD_00019	gene	2415	leuS			
AEFBBHKD_00020	CDS	2214		3.2.1.17		N-acetylmuramoyl-L-alanine amidase
AEFBBHKD_00020	gene	2214				
AEFBBHKD_00021	CDS	660				hypothetical protein
AEFBBHKD_00021	gene	660				
AEFBBHKD_00022	CDS	1026				hypothetical protein
AEFBBHKD_00022	gene	1026				
AEFBBHKD_00023	CDS	651				PAP2 family protein
AEFBBHKD_00023	gene	651				
AEFBBHKD_00024	CDS	969				radical SAM protein family protein
AEFBBHKD_00024	gene	969				
AEFBBHKD_00025	CDS	564				rRNA methylase family protein
AEFBBHKD_00025	gene	564				
AEFBBHKD_00026	CDS	669		3.6.3.-		ABC transporter ATP-binding protein
AEFBBHKD_00026	gene	669				
AEFBBHKD_00027	CDS	1080				efflux ABC transporter permease
AEFBBHKD_00027	gene	1080				
AEFBBHKD_00028	CDS	606				TetR family transcriptional regulator
AEFBBHKD_00028	gene	606				
AEFBBHKD_00029	CDS	1770				ABC transporter ATP-binding protein
AEFBBHKD_00029	gene	1770				
AEFBBHKD_00030	CDS	1716				ABC transporter ATP-binding protein
AEFBBHKD_00030	gene	1716				
AEFBBHKD_00031	CDS	663				TetR family transcriptional regulator
AEFBBHKD_00031	gene	663				
AEFBBHKD_00032	CDS	792		3.1.1.3		esterase
AEFBBHKD_00032	gene	792				
AEFBBHKD_00033	CDS	1467				major facilitator superfamily transporter
AEFBBHKD_00033	gene	1467				
AEFBBHKD_00034	CDS	1185	metK	2.5.1.6		S-adenosylmethionine synthetase
AEFBBHKD_00034	gene	1185	metK			
AEFBBHKD_00035	CDS	1878		2.3.1.-		acyltransferase
AEFBBHKD_00035	gene	1878				
AEFBBHKD_00036	CDS	1332				RNA polymerase factor sigma-54
AEFBBHKD_00036	gene	1332				
AEFBBHKD_00037	tRNA	74				tRNA-Arg(ccg)
AEFBBHKD_00037	gene	74				
AEFBBHKD_00038	CDS	201	cspA			major cold shock protein CspA
AEFBBHKD_00038	gene	201	cspA			
AEFBBHKD_00039	CDS	408				hypothetical protein
AEFBBHKD_00039	gene	408				
AEFBBHKD_00040	CDS	1788		3.1.4.46		glycerophosphodiester phosphodiesterase family protein
AEFBBHKD_00040	gene	1788				
AEFBBHKD_00041	CDS	510				hypothetical protein
AEFBBHKD_00041	gene	510				
AEFBBHKD_00042	CDS	384				hypothetical protein
AEFBBHKD_00042	gene	384				
AEFBBHKD_00043	CDS	2889				hypothetical protein
AEFBBHKD_00043	gene	2889				
AEFBBHKD_00044	CDS	405				membrane protein
AEFBBHKD_00044	gene	405				
AEFBBHKD_00045	CDS	519				hypothetical protein
AEFBBHKD_00045	gene	519				
AEFBBHKD_00046	CDS	594	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
AEFBBHKD_00046	gene	594	clpP			
AEFBBHKD_00047	CDS	519		5.3.4.1		bifunctional disulfide isomerase/thiol-disulfide oxidase
AEFBBHKD_00047	gene	519				
AEFBBHKD_00048	CDS	924				hypothetical protein
AEFBBHKD_00048	gene	924				
AEFBBHKD_00049	CDS	936				hypothetical protein
AEFBBHKD_00049	gene	936				
AEFBBHKD_00050	CDS	996			COG0391	Putative gluconeogenesis factor
AEFBBHKD_00050	gene	996				
AEFBBHKD_00051	CDS	888				ATP-binding protein
AEFBBHKD_00051	gene	888				
AEFBBHKD_00052	CDS	795				hypothetical protein
AEFBBHKD_00052	gene	795				
AEFBBHKD_00053	CDS	2820	uvrA_1	3.1.25.-		excinuclease ABC subunit A
AEFBBHKD_00053	gene	2820	uvrA_1			
AEFBBHKD_00054	CDS	1998	uvrB	3.1.25.-		excinuclease ABC subunit B
AEFBBHKD_00054	gene	1998	uvrB			
AEFBBHKD_00055	CDS	2169	mltF			Membrane-bound lytic murein transglycosylase F
AEFBBHKD_00055	gene	2169	mltF			
AEFBBHKD_00056	CDS	738	artM_1	3.6.3.-		amino acid ABC transporter ATP-binding protein
AEFBBHKD_00056	gene	738	artM_1			
AEFBBHKD_00057	CDS	720	sapB		COG1285	Protein SapB
AEFBBHKD_00057	gene	720	sapB			
AEFBBHKD_00058	CDS	1905		3.6.3.3		cadmium-translocating P-type ATPase
AEFBBHKD_00058	gene	1905				
AEFBBHKD_00059	CDS	1449				hypothetical protein
AEFBBHKD_00059	gene	1449				
AEFBBHKD_00060	CDS	450				hypothetical protein
AEFBBHKD_00060	gene	450				
AEFBBHKD_00061	CDS	1095				cell wall surface anchor family protein
AEFBBHKD_00061	gene	1095				
AEFBBHKD_00062	CDS	741				hypothetical protein
AEFBBHKD_00062	gene	741				
AEFBBHKD_00063	CDS	2100				hypothetical protein
AEFBBHKD_00063	gene	2100				
AEFBBHKD_00064	CDS	780				hypothetical protein
AEFBBHKD_00064	gene	780				
AEFBBHKD_00065	CDS	732				hypothetical protein
AEFBBHKD_00065	gene	732				
AEFBBHKD_00066	CDS	339				hypothetical protein
AEFBBHKD_00066	gene	339				
AEFBBHKD_00067	CDS	951				rhodanese-like domain-containing protein
AEFBBHKD_00067	gene	951				
AEFBBHKD_00068	CDS	711				hypothetical protein
AEFBBHKD_00068	gene	711				
AEFBBHKD_00069	CDS	1167	dap	3.4.11.19		D-aminopeptidase
AEFBBHKD_00069	gene	1167	dap			
AEFBBHKD_00070	CDS	381				glyoxalase family protein
AEFBBHKD_00070	gene	381				
AEFBBHKD_00071	CDS	1392				sodium/dicarboxylate symporter family protein
AEFBBHKD_00071	gene	1392				
AEFBBHKD_00072	CDS	336				hypothetical protein
AEFBBHKD_00072	gene	336				
AEFBBHKD_00073	CDS	387				hypothetical protein
AEFBBHKD_00073	gene	387				
AEFBBHKD_00074	CDS	432				hypothetical protein
AEFBBHKD_00074	gene	432				
AEFBBHKD_00075	CDS	639		2.7.1.145		deoxynucleoside kinase
AEFBBHKD_00075	gene	639				
AEFBBHKD_00076	CDS	699	pnuC			nicotinamide mononucleotide transporter PnuC
AEFBBHKD_00076	gene	699	pnuC			
AEFBBHKD_00077	CDS	1587	gatA_1	6.3.5.-		glutamyl-tRNA(Gln) amidotransferase subunit A
AEFBBHKD_00077	gene	1587	gatA_1			
AEFBBHKD_00078	CDS	930	arcC_1	2.7.2.2		Carbamate kinase
AEFBBHKD_00078	gene	930	arcC_1			
AEFBBHKD_00079	CDS	1098	aguA	3.5.3.12	COG2957	Putative agmatine deiminase
AEFBBHKD_00079	gene	1098	aguA			
AEFBBHKD_00080	CDS	1377				amino acid permease family protein
AEFBBHKD_00080	gene	1377				
AEFBBHKD_00081	CDS	1020	arcB_1	2.1.3.3		ornithine carbamoyltransferase
AEFBBHKD_00081	gene	1020	arcB_1			
AEFBBHKD_00082	CDS	966	malT			HTH-type transcriptional regulator MalT
AEFBBHKD_00082	gene	966	malT			
AEFBBHKD_00083	CDS	318				thioredoxin domain-containing protein
AEFBBHKD_00083	gene	318				
AEFBBHKD_00084	CDS	129				hypothetical protein
AEFBBHKD_00084	gene	129				
AEFBBHKD_00085	CDS	1374		2.1.1.190		23S rRNA (uracil-5-)-methyltransferase
AEFBBHKD_00085	gene	1374				
AEFBBHKD_00086	CDS	1089		2.7.1.107		Diacylglycerol kinase
AEFBBHKD_00086	gene	1089				
AEFBBHKD_00087	CDS	1431	gatB	6.3.5.-		aspartyl/glutamyl-tRNA amidotransferase subunit B
AEFBBHKD_00087	gene	1431	gatB			
AEFBBHKD_00088	CDS	1470	gatA_2	6.3.5.-		glutamyl-tRNA(Gln) amidotransferase subunit A
AEFBBHKD_00088	gene	1470	gatA_2			
AEFBBHKD_00089	CDS	306	gatC	6.3.5.-		aspartyl/glutamyl-tRNA amidotransferase subunit C
