locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKKLBDJI_00001	CDS	690	vanR_1			putative regulatory protein VanR
FKKLBDJI_00001	gene	690	vanR_1			
FKKLBDJI_00002	CDS	1209		2.7.13.3		histidine kinase
FKKLBDJI_00002	gene	1209				
FKKLBDJI_00003	CDS	1278	serS2	6.1.1.11		seryl-tRNA synthetase
FKKLBDJI_00003	gene	1278	serS2			
FKKLBDJI_00004	CDS	1521				hypothetical protein
FKKLBDJI_00004	gene	1521				
FKKLBDJI_00005	CDS	627				hypothetical protein
FKKLBDJI_00005	gene	627				
FKKLBDJI_00006	CDS	702				ABC transporter ATP-binding protein
FKKLBDJI_00006	gene	702				
FKKLBDJI_00007	CDS	2706				efflux ABC transporter, permease protein
FKKLBDJI_00007	gene	2706				
FKKLBDJI_00008	CDS	1485	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FKKLBDJI_00008	gene	1485	guaB_1			
FKKLBDJI_00009	CDS	693				hypothetical protein
FKKLBDJI_00009	gene	693				
FKKLBDJI_00010	CDS	1101	engD			translation-associated GTPase
FKKLBDJI_00010	gene	1101	engD			
FKKLBDJI_00011	CDS	189				translation-associated GTPase
FKKLBDJI_00011	gene	189				
FKKLBDJI_00012	CDS	891				ParB family chromosome partitioning protein
FKKLBDJI_00012	gene	891				
FKKLBDJI_00013	CDS	765	soj			sporulation initiation inhibitor protein Soj
FKKLBDJI_00013	gene	765	soj			
FKKLBDJI_00014	CDS	717	rsmG	2.1.1.-		Ribosomal RNA small subunit methyltransferase G
FKKLBDJI_00014	gene	717	rsmG			
FKKLBDJI_00015	CDS	771				hypothetical protein
FKKLBDJI_00015	gene	771				
FKKLBDJI_00016	CDS	189				small integral membrane protein
FKKLBDJI_00016	gene	189				
FKKLBDJI_00017	CDS	570				hypothetical protein
FKKLBDJI_00017	gene	570				
FKKLBDJI_00018	CDS	894		1.1.1.-		short chain dehydrogenase/reductase family oxidoreductase
FKKLBDJI_00018	gene	894				
FKKLBDJI_00019	CDS	453				hypothetical protein
FKKLBDJI_00019	gene	453				
FKKLBDJI_00020	CDS	459				hypothetical protein
FKKLBDJI_00020	gene	459				
FKKLBDJI_00021	CDS	519				hypothetical protein
FKKLBDJI_00021	gene	519				
FKKLBDJI_00022	CDS	1893	gidA			tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
FKKLBDJI_00022	gene	1893	gidA			
FKKLBDJI_00023	CDS	1398	mnmE	3.6.-.-		tRNA modification GTPase MnmE
FKKLBDJI_00023	gene	1398	mnmE			
FKKLBDJI_00024	CDS	330				hypothetical protein
FKKLBDJI_00024	gene	330				
FKKLBDJI_00025	CDS	759				r3H domain protein
FKKLBDJI_00025	gene	759				
FKKLBDJI_00026	CDS	825	oxaA			putative stage III sporulation protein J
FKKLBDJI_00026	gene	825	oxaA			
FKKLBDJI_00027	CDS	336	rnpA	3.1.26.5		Ribonuclease P protein component
FKKLBDJI_00027	gene	336	rnpA			
FKKLBDJI_00028	CDS	135				50S ribosomal protein L34
FKKLBDJI_00028	gene	135				
FKKLBDJI_00029	CDS	1338	dnaA			chromosomal replication initiation protein, DnaA
FKKLBDJI_00029	gene	1338	dnaA			
FKKLBDJI_00030	CDS	1131	dnaB	2.7.7.7		DNA polymerase III subunit beta, DnaB
FKKLBDJI_00030	gene	1131	dnaB			
FKKLBDJI_00031	CDS	240	yaaA			S4 domain protein, YaaA
FKKLBDJI_00031	gene	240	yaaA			
FKKLBDJI_00032	CDS	1113	recF			recombination protein F, RecF
FKKLBDJI_00032	gene	1113	recF			
FKKLBDJI_00033	CDS	1950	gyrB	5.99.1.3		DNA gyrase subunit B, GyrB
FKKLBDJI_00033	gene	1950	gyrB			
FKKLBDJI_00034	CDS	2526	gyrA	5.99.1.3		DNA gyrase, A subunit, GyrA
FKKLBDJI_00034	gene	2526	gyrA			
FKKLBDJI_00035	CDS	300	rpsF			30S ribosomal protein S6
FKKLBDJI_00035	gene	300	rpsF			
FKKLBDJI_00036	CDS	525				single-strand binding protein
FKKLBDJI_00036	gene	525				
FKKLBDJI_00037	CDS	237	rpsR			30S ribosomal protein S18
FKKLBDJI_00037	gene	237	rpsR			
FKKLBDJI_00038	CDS	1449				DHH family protein
FKKLBDJI_00038	gene	1449				
FKKLBDJI_00039	CDS	453	rplI			50S ribosomal protein L9
FKKLBDJI_00039	gene	453	rplI			
FKKLBDJI_00040	CDS	1371		3.6.1.-		replicative DNA helicase
FKKLBDJI_00040	gene	1371				
FKKLBDJI_00041	CDS	1293	purA	6.3.4.4		adenylosuccinate synthetase
FKKLBDJI_00041	gene	1293	purA			
FKKLBDJI_00042	CDS	876				DegV family protein
FKKLBDJI_00042	gene	876				
FKKLBDJI_00043	CDS	1623	ykpA			ABC transporter ATP-binding protein
FKKLBDJI_00043	gene	1623	ykpA			
FKKLBDJI_00044	CDS	819	zupT			zinc transporter ZupT
FKKLBDJI_00044	gene	819	zupT			
FKKLBDJI_00045	CDS	204				hypothetical protein
FKKLBDJI_00045	gene	204				
FKKLBDJI_00046	CDS	402				hypothetical protein
FKKLBDJI_00046	gene	402				
FKKLBDJI_00047	CDS	1245	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
FKKLBDJI_00047	gene	1245	proA			
FKKLBDJI_00048	CDS	816	proB	2.7.2.11		glutamate 5-kinase
FKKLBDJI_00048	gene	816	proB			
FKKLBDJI_00049	CDS	510		3.6.1.23		deoxyuridine 5'-triphosphate nucleotidohydrolase
FKKLBDJI_00049	gene	510				
FKKLBDJI_00050	CDS	1371	radA			DNA repair protein RadA
FKKLBDJI_00050	gene	1371	radA			
FKKLBDJI_00051	CDS	1140				Integral membrane protein
FKKLBDJI_00051	gene	1140				
FKKLBDJI_00052	CDS	1458	gltX	6.1.1.17		glutamyl-tRNA synthetase
FKKLBDJI_00052	gene	1458	gltX			
FKKLBDJI_00053	CDS	699	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
FKKLBDJI_00053	gene	699	dapH_1			
FKKLBDJI_00054	CDS	1413	cysS	6.1.1.16		cysteinyl-tRNA synthetase
FKKLBDJI_00054	gene	1413	cysS			
FKKLBDJI_00055	CDS	423		3.1.26.3		ribonuclease III
FKKLBDJI_00055	gene	423				
FKKLBDJI_00056	CDS	840		2.1.1.-		trmH family tRNA/rRNA methyltransferase
FKKLBDJI_00056	gene	840				
FKKLBDJI_00057	CDS	519				putative RNA-binding protein containing a PIN domain protein
FKKLBDJI_00057	gene	519				
FKKLBDJI_00058	CDS	564				RNA polymerase sigma-70 factor family protein
FKKLBDJI_00058	gene	564				
FKKLBDJI_00059	CDS	246				veg family protein
FKKLBDJI_00059	gene	246				
