locus_tag	ftype	length_bp	gene	EC_number	COG	product
OFOAOLJE_00001	tRNA	75				tRNA-Val(tac)
OFOAOLJE_00001	gene	75				
OFOAOLJE_00002	rRNA	110				5S ribosomal RNA
OFOAOLJE_00002	gene	110				
OFOAOLJE_00003	rRNA	2909				23S ribosomal RNA
OFOAOLJE_00003	gene	2909				
OFOAOLJE_00004	rRNA	1558				16S ribosomal RNA
OFOAOLJE_00004	gene	1558				
OFOAOLJE_00005	CDS	363				hypothetical protein
OFOAOLJE_00005	gene	363				
OFOAOLJE_00006	CDS	369				general stress protein 13
OFOAOLJE_00006	gene	369				
OFOAOLJE_00007	CDS	1167		2.6.1.-		class II aminotransferase
OFOAOLJE_00007	gene	1167				
OFOAOLJE_00008	CDS	207				hypothetical protein
OFOAOLJE_00008	gene	207				
OFOAOLJE_00009	CDS	591		5.2.1.8		cyclophilin type peptidyl-prolyl cis-trans isomerase
OFOAOLJE_00009	gene	591				
OFOAOLJE_00010	CDS	1011		1.18.1.2		ferredoxin--NADP reductase
OFOAOLJE_00010	gene	1011				
OFOAOLJE_00011	CDS	963		1.1.1.290		4-phosphoerythronate dehydrogenase
OFOAOLJE_00011	gene	963				
OFOAOLJE_00012	CDS	1554	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
OFOAOLJE_00012	gene	1554	yfkN_1			
OFOAOLJE_00013	CDS	1281				extracellular solute-binding protein
OFOAOLJE_00013	gene	1281				
OFOAOLJE_00014	CDS	1290	rnj	3.1.-.-		Ribonuclease J
OFOAOLJE_00014	gene	1290	rnj			
OFOAOLJE_00015	CDS	819				inner membrane component transport system
OFOAOLJE_00015	gene	819				
OFOAOLJE_00016	CDS	876				ABC transporter ATP-binding protein
OFOAOLJE_00016	gene	876				
OFOAOLJE_00017	CDS	1071	msmK_1			ABC transporter ATP-binding protein
OFOAOLJE_00017	gene	1071	msmK_1			
OFOAOLJE_00018	CDS	939		2.4.1.-		glycosyl transferase family protein
OFOAOLJE_00018	gene	939				
OFOAOLJE_00019	CDS	312				HesB-like domain-containing protein
OFOAOLJE_00019	gene	312				
