locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHOECFDG_00001	CDS	1632	ykpA			ABC transporter ATP-binding protein
KHOECFDG_00001	gene	1632	ykpA			
KHOECFDG_00002	CDS	2886				transcriptional antiterminator bglG:Sigma-54 factor
KHOECFDG_00002	gene	2886				
KHOECFDG_00003	CDS	513		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IIB component
KHOECFDG_00003	gene	513				
KHOECFDG_00004	CDS	993		2.7.1.-		PTS system, mannose/fructose/sorbose-specific IIAB component
KHOECFDG_00004	gene	993				
KHOECFDG_00005	CDS	804		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IIC component
KHOECFDG_00005	gene	804				
KHOECFDG_00006	CDS	912		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IID component
KHOECFDG_00006	gene	912				
KHOECFDG_00007	CDS	378				hypothetical protein
KHOECFDG_00007	gene	378				
KHOECFDG_00008	CDS	528				acid-resistance membrane protein
KHOECFDG_00008	gene	528				
KHOECFDG_00009	CDS	204				hypothetical protein
KHOECFDG_00009	gene	204				
KHOECFDG_00010	CDS	771				phosphosugar isomerase transcriptional regulator
KHOECFDG_00010	gene	771				
KHOECFDG_00011	CDS	1569		2.7.1.69		PTS system, N-acetylglucosamine-specific IICBA component
KHOECFDG_00011	gene	1569				
KHOECFDG_00012	CDS	1206		2.6.1.-		class II aminotransferase
KHOECFDG_00012	gene	1206				
KHOECFDG_00013	CDS	381	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
KHOECFDG_00013	gene	381	yabJ_1			
KHOECFDG_00014	CDS	1782				hypothetical protein
KHOECFDG_00014	gene	1782				
KHOECFDG_00015	CDS	1302		2.7.1.69		PTS system transporter subunit IIC
KHOECFDG_00015	gene	1302				
KHOECFDG_00016	CDS	1017				SIS domain-containing protein
KHOECFDG_00016	gene	1017				
KHOECFDG_00017	CDS	1278		3.2.1.22		alpha-galactosidase
KHOECFDG_00017	gene	1278				
KHOECFDG_00018	CDS	2592		6.1.1.6		ysyl-tRNA synthetase
KHOECFDG_00018	gene	2592				
KHOECFDG_00019	CDS	507				hypothetical protein
KHOECFDG_00019	gene	507				
KHOECFDG_00020	CDS	2616	yfhO_1			Bacterial membrane protein YfhO
KHOECFDG_00020	gene	2616	yfhO_1			
KHOECFDG_00021	CDS	510				hypothetical protein
KHOECFDG_00021	gene	510				
KHOECFDG_00022	CDS	468				hypothetical protein
KHOECFDG_00022	gene	468				
KHOECFDG_00023	CDS	936				hypothetical protein
KHOECFDG_00023	gene	936				
KHOECFDG_00024	CDS	1248	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
KHOECFDG_00024	gene	1248	proA			
KHOECFDG_00025	CDS	816	proB	2.7.2.11		glutamate 5-kinase
KHOECFDG_00025	gene	816	proB			
KHOECFDG_00026	CDS	480		3.6.1.23		deoxyuridine 5'-triphosphate nucleotidohydrolase
KHOECFDG_00026	gene	480				
KHOECFDG_00027	CDS	1371	radA			DNA repair protein RadA
KHOECFDG_00027	gene	1371	radA			
KHOECFDG_00028	CDS	1146				Integral membrane protein
KHOECFDG_00028	gene	1146				
