locus_tag	ftype	length_bp	gene	EC_number	COG	product
GADMLKNP_00001	CDS	1497	lysS	6.1.1.6		lysyl-tRNA synthetase
GADMLKNP_00001	gene	1497	lysS			
GADMLKNP_00002	CDS	996		1.-.-.-		tRNA-dihydrouridine synthase
GADMLKNP_00002	gene	996				
GADMLKNP_00003	CDS	888	hslO			chaperonin HslO
GADMLKNP_00003	gene	888	hslO			
GADMLKNP_00004	CDS	2112	hflB	3.4.24.-		ATP-dependent metalloprotease
GADMLKNP_00004	gene	2112	hflB			
GADMLKNP_00005	CDS	546	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
GADMLKNP_00005	gene	546	hpt			
GADMLKNP_00006	CDS	1443		6.3.4.-		tRNA(Ile)-lysidine synthase
GADMLKNP_00006	gene	1443				
GADMLKNP_00007	CDS	483				S1 RNA binding domain-containing protein
GADMLKNP_00007	gene	483				
GADMLKNP_00008	CDS	414				septum formation initiator
GADMLKNP_00008	gene	414				
GADMLKNP_00009	CDS	276				S4 RNA-binding domain-containing protein
GADMLKNP_00009	gene	276				
GADMLKNP_00010	CDS	1611				polysaccharide biosynthesis family protein
GADMLKNP_00010	gene	1611				
GADMLKNP_00011	CDS	3522		3.6.1.-		transcription-repair coupling factor
GADMLKNP_00011	gene	3522				
GADMLKNP_00012	CDS	561		3.1.1.29		Peptidyl-tRNA hydrolase
GADMLKNP_00012	gene	561				
GADMLKNP_00013	CDS	975	ldh1	1.1.1.27		L-lactate dehydrogenase
GADMLKNP_00013	gene	975	ldh1			
GADMLKNP_00014	CDS	1407				ErfK/YbiS/YcfS/YnhG family protein
GADMLKNP_00014	gene	1407				
GADMLKNP_00015	CDS	444				hypothetical protein
GADMLKNP_00015	gene	444				
GADMLKNP_00016	CDS	507				integral membrane protein
GADMLKNP_00016	gene	507				
GADMLKNP_00017	CDS	1803		3.4.24.-		oligoendopeptidase, PepF/M3 family
GADMLKNP_00017	gene	1803				
GADMLKNP_00018	CDS	1551				NlpC/P60 family lipoprotein
GADMLKNP_00018	gene	1551				
GADMLKNP_00019	CDS	510	mreD			rod shape-determining protein MreD
GADMLKNP_00019	gene	510	mreD			
GADMLKNP_00020	CDS	855	mreC			rod shape-determining protein MreC
GADMLKNP_00020	gene	855	mreC			
GADMLKNP_00021	CDS	636		2.7.6.2		thiamin pyrophosphokinase family protein
GADMLKNP_00021	gene	636				
GADMLKNP_00022	CDS	651		5.1.3.1		Ribulose-phosphate 3-epimerase
GADMLKNP_00022	gene	651				
GADMLKNP_00023	CDS	900	rsgA	3.6.1.-		Putative ribosome biogenesis GTPase RsgA
GADMLKNP_00023	gene	900	rsgA			
GADMLKNP_00024	CDS	2034		2.7.11.1		serine/threonine-protein kinase
GADMLKNP_00024	gene	2034				
GADMLKNP_00025	CDS	741		3.1.3.16		serine/threonine phosphatase
GADMLKNP_00025	gene	741				
GADMLKNP_00026	CDS	1359		2.1.1.-		Ribosomal RNA small subunit methyltransferase B
GADMLKNP_00026	gene	1359				
GADMLKNP_00027	CDS	942	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
GADMLKNP_00027	gene	942	fmt			
GADMLKNP_00028	CDS	492		3.5.1.88		Peptide deformylase
GADMLKNP_00028	gene	492				
GADMLKNP_00029	CDS	2409		3.6.1.-		Primosomal protein N'
GADMLKNP_00029	gene	2409				
GADMLKNP_00030	CDS	306	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
GADMLKNP_00030	gene	306	rpoZ			
GADMLKNP_00031	CDS	615	gmk	2.7.4.8		guanylate kinase
GADMLKNP_00031	gene	615	gmk			
GADMLKNP_00032	CDS	285				hypothetical protein
GADMLKNP_00032	gene	285				
GADMLKNP_00033	CDS	891				hypothetical protein
GADMLKNP_00033	gene	891				
GADMLKNP_00034	CDS	219				hypothetical protein
GADMLKNP_00034	gene	219				
