locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDLHMKFH_00001	CDS	1005		3.6.3.-		peptide ABC transporter ATP-binding protein
IDLHMKFH_00001	gene	1005				
IDLHMKFH_00002	CDS	945	oppF	3.6.3.-		peptide ABC transporter ATP-binding protein
IDLHMKFH_00002	gene	945	oppF			
IDLHMKFH_00003	CDS	963				ABC transporter permease
IDLHMKFH_00003	gene	963				
IDLHMKFH_00004	CDS	915				ABC transporter permease
IDLHMKFH_00004	gene	915				
IDLHMKFH_00005	CDS	1779				family 5 extracellular solute-binding protein
IDLHMKFH_00005	gene	1779				
IDLHMKFH_00006	CDS	687	rnc	3.1.26.3		ribonuclease III
IDLHMKFH_00006	gene	687	rnc			
IDLHMKFH_00007	CDS	3579				chromosome partition protein SMC
IDLHMKFH_00007	gene	3579				
IDLHMKFH_00008	CDS	810		3.-.-.-		HAD superfamily hydrolase
IDLHMKFH_00008	gene	810				
IDLHMKFH_00009	CDS	1002	ftsY			signal recognition particle-docking protein FtsY
IDLHMKFH_00009	gene	1002	ftsY			
IDLHMKFH_00010	CDS	2280		6.3.2.2		bifunctional glutamate--cysteine ligase/glutathione synthetase
IDLHMKFH_00010	gene	2280				
IDLHMKFH_00011	CDS	393				hypothetical protein
IDLHMKFH_00011	gene	393				
IDLHMKFH_00012	CDS	279				hypothetical protein
IDLHMKFH_00012	gene	279				
IDLHMKFH_00013	CDS	1014				cell wall surface anchor family protein
IDLHMKFH_00013	gene	1014				
IDLHMKFH_00014	CDS	207				hypothetical protein
IDLHMKFH_00014	gene	207				
IDLHMKFH_00015	CDS	2448				hypothetical protein
IDLHMKFH_00015	gene	2448				
IDLHMKFH_00016	CDS	447	yueI		COG5506	putative protein YueI
IDLHMKFH_00016	gene	447	yueI			
IDLHMKFH_00017	CDS	951				iron ABC transporter system permease
IDLHMKFH_00017	gene	951				
IDLHMKFH_00018	CDS	957				iron ABC transporter system permease
IDLHMKFH_00018	gene	957				
IDLHMKFH_00019	CDS	756	yclP	3.6.3.-		iron ABC transporter ATP-binding protein
IDLHMKFH_00019	gene	756	yclP			
IDLHMKFH_00020	CDS	954				iron ABC transporter substrate-binding protein
IDLHMKFH_00020	gene	954				
IDLHMKFH_00021	CDS	1176				hypothetical protein
IDLHMKFH_00021	gene	1176				
IDLHMKFH_00022	CDS	570				hypothetical protein
IDLHMKFH_00022	gene	570				
IDLHMKFH_00023	CDS	357				hypothetical protein
IDLHMKFH_00023	gene	357				
IDLHMKFH_00024	CDS	900		3.1.-.-		Calcineurin-like phosphoesterase
IDLHMKFH_00024	gene	900				
IDLHMKFH_00025	CDS	1137				hypothetical protein
IDLHMKFH_00025	gene	1137				
IDLHMKFH_00026	CDS	735				glycerol uptake facilitator protein
IDLHMKFH_00026	gene	735				
IDLHMKFH_00027	CDS	417				LrgA family protein
IDLHMKFH_00027	gene	417				
IDLHMKFH_00028	CDS	702				LrgB family protein
IDLHMKFH_00028	gene	702				
IDLHMKFH_00029	CDS	1536				M protein trans-acting positive regulator
IDLHMKFH_00029	gene	1536				
IDLHMKFH_00030	CDS	222				hypothetical protein
IDLHMKFH_00030	gene	222				
IDLHMKFH_00031	CDS	762		1.1.1.121		aldose dehydrogenase
IDLHMKFH_00031	gene	762				
IDLHMKFH_00032	CDS	510				membrane protein
IDLHMKFH_00032	gene	510				
IDLHMKFH_00033	CDS	216		2.7.7.-		ISEfa7, transposase
IDLHMKFH_00033	gene	216				
IDLHMKFH_00034	CDS	549				BioY family protein
IDLHMKFH_00034	gene	549				
IDLHMKFH_00035	CDS	612	rpsD			30S ribosomal protein S4
IDLHMKFH_00035	gene	612	rpsD			
IDLHMKFH_00036	CDS	447		1.14.11.33		DNA alkylation repair protein
IDLHMKFH_00036	gene	447				
IDLHMKFH_00037	CDS	774		3.-.-.-		HAD superfamily hydrolase
IDLHMKFH_00037	gene	774				
IDLHMKFH_00038	CDS	798		3.1.-.-		calcineurin-like phosphoesterase
IDLHMKFH_00038	gene	798				
IDLHMKFH_00039	CDS	375	ymcA		COG4550	putative protein YmcA
IDLHMKFH_00039	gene	375	ymcA			
IDLHMKFH_00040	CDS	2613	mutS			DNA mismatch repair protein MutS
IDLHMKFH_00040	gene	2613	mutS			
IDLHMKFH_00041	CDS	2103				DNA mismatch repair protein
IDLHMKFH_00041	gene	2103				
IDLHMKFH_00042	CDS	558				maf protein
IDLHMKFH_00042	gene	558				
IDLHMKFH_00043	CDS	1986		2.7.1.69		PTS system, trehalose/maltose-specific, IIBCA component
IDLHMKFH_00043	gene	1986				
IDLHMKFH_00044	CDS	714				GntR family transcriptional regulator
IDLHMKFH_00044	gene	714				
IDLHMKFH_00045	CDS	444	msrB	1.8.4.12		peptide methionine sulfoxide reductase MsrB
IDLHMKFH_00045	gene	444	msrB			
IDLHMKFH_00046	CDS	603	ruvA	3.6.1.-		Holliday junction DNA helicase RuvA
IDLHMKFH_00046	gene	603	ruvA			
IDLHMKFH_00047	CDS	1002	ruvB	3.6.1.-		Holliday junction DNA helicase RuvB
IDLHMKFH_00047	gene	1002	ruvB			
IDLHMKFH_00048	CDS	582				TetR family dihydroxyacetone kinase regulator
IDLHMKFH_00048	gene	582				
IDLHMKFH_00049	CDS	465		3.1.3.48		phosphotyrosine protein phosphatase
IDLHMKFH_00049	gene	465				
IDLHMKFH_00050	CDS	375				hypothetical protein
IDLHMKFH_00050	gene	375				
IDLHMKFH_00051	CDS	336				hypothetical protein
IDLHMKFH_00051	gene	336				
IDLHMKFH_00052	CDS	1356				branched-chain amino acid transport system II carrier protein
IDLHMKFH_00052	gene	1356				
IDLHMKFH_00053	CDS	1356	aapA			amino acid permease
IDLHMKFH_00053	gene	1356	aapA			
IDLHMKFH_00054	CDS	741		3.6.3.-		amino acid ABC transporter ATP-binding protein
IDLHMKFH_00054	gene	741				
