locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDFMCFNB_00001	CDS	279				hypothetical protein
HDFMCFNB_00001	gene	279				
HDFMCFNB_00002	CDS	1278	rarA			recombination factor protein RarA
HDFMCFNB_00002	gene	1278	rarA			
HDFMCFNB_00003	CDS	678		3.2.2.-		DNA-3-methyladenine glycosylase
HDFMCFNB_00003	gene	678				
HDFMCFNB_00004	CDS	486		3.2.2.-		DNA-3-methyladenine glycosylase
HDFMCFNB_00004	gene	486				
HDFMCFNB_00005	CDS	948	prmA	2.1.1.-		50S ribosomal protein L11 methyltransferase
HDFMCFNB_00005	gene	948	prmA			
HDFMCFNB_00006	CDS	753	rsmE	2.1.1.-		16S ribosomal RNA methyltransferase RsmE
HDFMCFNB_00006	gene	753	rsmE			
HDFMCFNB_00007	CDS	2214	relA	2.7.6.5		GTP diphosphokinase
HDFMCFNB_00007	gene	2214	relA			
HDFMCFNB_00008	CDS	447	dtd	3.1.-.-		D-tyrosyl-tRNA(Tyr) deacylase
HDFMCFNB_00008	gene	447	dtd			
HDFMCFNB_00009	CDS	1302	hisS	6.1.1.21		histidyl-tRNA synthetase
HDFMCFNB_00009	gene	1302	hisS			
HDFMCFNB_00010	CDS	1770	aspS	6.1.1.12		aspartyl-tRNA synthetase
HDFMCFNB_00010	gene	1770	aspS			
HDFMCFNB_00011	CDS	816		2.7.4.7		phosphomethylpyrimidine kinase
HDFMCFNB_00011	gene	816				
HDFMCFNB_00012	CDS	507	hmpT		COG4720	Thiamine precursor transporter HmpT
HDFMCFNB_00012	gene	507	hmpT			
HDFMCFNB_00013	CDS	570				hypothetical protein
HDFMCFNB_00013	gene	570				
HDFMCFNB_00014	CDS	879				integral membrane protein
HDFMCFNB_00014	gene	879				
HDFMCFNB_00015	CDS	1038				SorC family transcriptional regulator
HDFMCFNB_00015	gene	1038				
HDFMCFNB_00016	CDS	1002		1.2.1.12		glyceraldehyde-3-phosphate dehydrogenase
HDFMCFNB_00016	gene	1002				
HDFMCFNB_00017	CDS	1194	pgk	2.7.2.3		phosphoglycerate kinase
HDFMCFNB_00017	gene	1194	pgk			
HDFMCFNB_00018	CDS	756	tpiA	5.3.1.1		triosephosphate isomerase
HDFMCFNB_00018	gene	756	tpiA			
HDFMCFNB_00019	CDS	1299	eno	4.2.1.11		enolase
HDFMCFNB_00019	gene	1299	eno			
HDFMCFNB_00020	CDS	825				hypothetical protein
HDFMCFNB_00020	gene	825				
HDFMCFNB_00021	CDS	1362	dgt	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
HDFMCFNB_00021	gene	1362	dgt			
HDFMCFNB_00022	CDS	2772				transcriptional antiterminator bglG:Sigma-54 factor
HDFMCFNB_00022	gene	2772				
HDFMCFNB_00023	CDS	465		2.7.1.-		PTS system, mannose/fructose/sorbose-specific IIA component
HDFMCFNB_00023	gene	465				
HDFMCFNB_00024	CDS	471		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IIB component
HDFMCFNB_00024	gene	471				
HDFMCFNB_00025	CDS	792		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IIC component
HDFMCFNB_00025	gene	792				
HDFMCFNB_00026	CDS	834		2.7.1.69		PTS system, mannose/fructose/sorbose-specific IID component
HDFMCFNB_00026	gene	834				
HDFMCFNB_00027	CDS	1077				SIS domain-containing protein
HDFMCFNB_00027	gene	1077				
HDFMCFNB_00028	CDS	1005				SIS domain-containing protein
HDFMCFNB_00028	gene	1005				
HDFMCFNB_00029	CDS	351				hypothetical protein
HDFMCFNB_00029	gene	351				
HDFMCFNB_00030	CDS	360				hypothetical protein
HDFMCFNB_00030	gene	360				
HDFMCFNB_00031	CDS	150				hypothetical protein
HDFMCFNB_00031	gene	150				
HDFMCFNB_00032	CDS	1836		3.1.6.1		arylsulfatase
HDFMCFNB_00032	gene	1836				
HDFMCFNB_00033	CDS	1182	mdtL			Multidrug resistance protein MdtL
HDFMCFNB_00033	gene	1182	mdtL			
HDFMCFNB_00034	CDS	396				hypothetical protein
HDFMCFNB_00034	gene	396				
HDFMCFNB_00035	CDS	666	yeiL_1		COG0664	Regulatory protein YeiL
HDFMCFNB_00035	gene	666	yeiL_1			
HDFMCFNB_00036	CDS	651				hypothetical protein
HDFMCFNB_00036	gene	651				
HDFMCFNB_00037	CDS	2706		3.6.3.8		calcium-translocating P-type ATPase
HDFMCFNB_00037	gene	2706				
HDFMCFNB_00038	CDS	537				hypothetical protein
HDFMCFNB_00038	gene	537				
HDFMCFNB_00039	CDS	435				hypothetical protein
HDFMCFNB_00039	gene	435				
HDFMCFNB_00040	CDS	162				hypothetical protein
HDFMCFNB_00040	gene	162				
HDFMCFNB_00041	CDS	357				hypothetical protein
HDFMCFNB_00041	gene	357				
HDFMCFNB_00042	CDS	1335		1.-.-.-		pyridine nucleotide-disulfide oxidoreductase
HDFMCFNB_00042	gene	1335				
HDFMCFNB_00043	CDS	1467				helix-turn-helix domain-containing protein
HDFMCFNB_00043	gene	1467				
HDFMCFNB_00044	CDS	1506	glpK	2.7.1.30		glycerol kinase
HDFMCFNB_00044	gene	1506	glpK			
HDFMCFNB_00045	CDS	1830	glpO	1.1.3.21		alpha-glycerophosphate oxidase
HDFMCFNB_00045	gene	1830	glpO			
HDFMCFNB_00046	CDS	720				glycerol uptake facilitator protein
HDFMCFNB_00046	gene	720				
HDFMCFNB_00047	CDS	540				hypothetical protein
HDFMCFNB_00047	gene	540				
HDFMCFNB_00048	CDS	846				hypothetical protein
HDFMCFNB_00048	gene	846				
HDFMCFNB_00049	CDS	1509				M protein trans-acting positive regulator
HDFMCFNB_00049	gene	1509				
HDFMCFNB_00050	CDS	1914	purR			HTH-type transcriptional repressor PurR
HDFMCFNB_00050	gene	1914	purR			
HDFMCFNB_00051	CDS	921		3.2.2.-		inosine-uridine preferring nucleoside hydrolase
HDFMCFNB_00051	gene	921				
HDFMCFNB_00052	CDS	1374	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
HDFMCFNB_00052	gene	1374	dcuD			
HDFMCFNB_00053	CDS	477				hypothetical protein
HDFMCFNB_00053	gene	477				
HDFMCFNB_00054	CDS	1029				3-carboxymuconate cyclase
HDFMCFNB_00054	gene	1029				
HDFMCFNB_00055	CDS	1254	clpX			ATP-dependent protease ATP-binding protein ClpX
HDFMCFNB_00055	gene	1254	clpX			
HDFMCFNB_00056	CDS	582	ysxC			ribosome biogenesis GTP-binding protein YsxC
HDFMCFNB_00056	gene	582	ysxC			
HDFMCFNB_00057	CDS	153				hypothetical protein
HDFMCFNB_00057	gene	153				
HDFMCFNB_00058	CDS	303	yidD			Putative membrane protein insertion efficiency factor
HDFMCFNB_00058	gene	303	yidD			
HDFMCFNB_00059	CDS	882				ROK family protein
HDFMCFNB_00059	gene	882				
