locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFDIPLCH_00001	rRNA	110				5S ribosomal RNA
NFDIPLCH_00001	gene	110				
NFDIPLCH_00002	rRNA	2909				23S ribosomal RNA
NFDIPLCH_00002	gene	2909				
NFDIPLCH_00003	rRNA	1558				16S ribosomal RNA
NFDIPLCH_00003	gene	1558				
NFDIPLCH_00004	CDS	1212		1.-.-.-		pyridine nucleotide-disulfide family oxidoreductase
NFDIPLCH_00004	gene	1212				
NFDIPLCH_00005	CDS	906		2.5.1.-		prenyltransferase, UbiA family
NFDIPLCH_00005	gene	906				
NFDIPLCH_00006	CDS	981		2.5.1.10		polyprenyl synthetase
NFDIPLCH_00006	gene	981				
NFDIPLCH_00007	CDS	1764			COG1132	putative ABC transporter ATP-binding protein
NFDIPLCH_00007	gene	1764				
NFDIPLCH_00008	CDS	1734				ABC transporter ATP-binding protein
NFDIPLCH_00008	gene	1734				
NFDIPLCH_00009	CDS	1014	cydB	1.10.3.14	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
NFDIPLCH_00009	gene	1014	cydB			
NFDIPLCH_00010	CDS	1419	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
NFDIPLCH_00010	gene	1419	cydA			
	repeat_region	696				
NFDIPLCH_00011	CDS	864				AraC family transcriptional regulator
NFDIPLCH_00011	gene	864				
NFDIPLCH_00012	CDS	480		5.99.1.2		DNA topoisomerase III
NFDIPLCH_00012	gene	480				
NFDIPLCH_00013	CDS	1635		5.99.1.2		DNA topoisomerase III
NFDIPLCH_00013	gene	1635				
NFDIPLCH_00014	CDS	366				hypothetical protein
NFDIPLCH_00014	gene	366				
NFDIPLCH_00015	CDS	570				TetR family transcriptional regulator
NFDIPLCH_00015	gene	570				
NFDIPLCH_00016	CDS	516				hypothetical protein
NFDIPLCH_00016	gene	516				
NFDIPLCH_00017	CDS	1233				major facilitator superfamily transporter
NFDIPLCH_00017	gene	1233				
NFDIPLCH_00018	CDS	1125	mnmA	2.8.1.-		tRNA-specific 2-thiouridylase MnmA
NFDIPLCH_00018	gene	1125	mnmA			
NFDIPLCH_00019	CDS	345				hypothetical protein
NFDIPLCH_00019	gene	345				
NFDIPLCH_00020	CDS	1146		2.8.1.7		Putative cysteine desulfurase
NFDIPLCH_00020	gene	1146				
NFDIPLCH_00021	CDS	975	prs2	2.7.6.1		ribose-phosphate pyrophosphokinase
NFDIPLCH_00021	gene	975	prs2			
NFDIPLCH_00022	CDS	750				ABC transporter ATP-binding protein
NFDIPLCH_00022	gene	750				
NFDIPLCH_00023	CDS	870				metal ion ABC transporter permease
NFDIPLCH_00023	gene	870				
